f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,label
775267,18446744073709080462,1215566,18446744073708864417,858284,886613,881737,18446744073709054611,18446744073709322915,967055,1411158,377913,1788166,0
1600566,18446744073709178927,1288467,151234,1418411,806722,1111999,18446744073709295665,662349,492567,492408,53965,1692900,0
1021625,18446744073708865628,923961,151234,1068331,1046395,1372297,306509,225560,665108,754908,18446744073709492903,1216569,0
1465069,18446744073708883531,413653,18446744073708654809,578221,1605634,1902902,18446744073709215314,470162,1570950,1192408,293405,2963114,0
787585,683574,705257,18446744073708265537,1138347,646939,1001874,18446744073708010043,120730,18078,11159,1053978,311541,0
1304936,18446744073708919337,18446744073709236257,18446744073708505089,1838506,1126287,1142034,18446744073708572503,889479,255322,579908,1546943,105132,0
18446744073709464629,1310170,1033313,18446744073709283634,158126,183570,381165,18446744073708652854,679820,18446744073709310882,317409,1279334,73376,0
873810,18446744073709125218,18446744073709527862,18446744073708684753,88110,503135,851702,18446744073708813557,173145,18446744073709008935,667408,1955399,914893,0
18446744073709366086,18446744073708892483,559455,18446744073709044082,18446744073709219631,295418,341120,18446744073708733205,18446744073709322915,18446744073709065011,579908,1434265,851383,0
615134,18446744073709080462,887510,151234,18446744073709289647,375309,581394,18446744073708893908,120730,18446744073708888156,711158,1701875,311541,0
60828,18446744073709295295,3110996,1648436,1698474,535092,651474,868969,574991,18446744073708914037,754908,828623,263908,0
479637,18446744073709044656,923961,18446744073708535033,18446744073709079599,886613,911771,18446744073709376017,18446744073709305444,18446744073709440288,18446744073709387775,856793,1422979,0
368776,18446744073708999899,18446744073708725949,18446744073708804529,18446744073709149615,167592,160914,18446744073708813557,18446744073709130728,18446744073709073638,273659,222981,1708777,0
1070896,18446744073709161024,1580071,18446744073709523186,508205,1046395,941805,65455,295446,18446744073709310882,1279908,1110317,533829,0
1255665,18446744073708964094,18446744073708981103,18446744073708505089,18446744073709289647,567048,301074,18446744073708733205,679820,18446744073709397153,361158,1377926,914893,0
898446,18446744073708802969,1215566,899835,88110,1126287,1222125,18446744073708974260,1378682,276890,1017408,138473,1708777,0
713677,18446744073708946191,18446744073709527862,18446744073709433354,438189,902591,1162057,18446744073708411800,627406,794514,579908,377913,2439151,0
836856,18446744073709098364,18446744073709527862,18446744073708864417,298157,199549,661485,467212,662349,18446744073709026189,1192408,363828,771994,0
935399,18446744073708829823,1215566,1514,2258601,1046395,711542,1110023,18446744073709130728,147484,1279908,546929,1550000,0
627452,18446744073709071510,1033313,18446744073709403410,718252,87701,501302,18446744073708974260,18446744073709462688,18446744073709181476,623658,363828,1105425,0
590498,18446744073709080462,158499,300954,18094,646939,951817,18446744073708733205,470162,18078,361158,1208910,549707,0
344140,18446744073708928288,1725874,18446744073708355369,718252,487157,651474,18446744073709376017,18446744073709148200,18446744073709354017,579908,237066,422685,0
60828,18446744073708937239,668807,18446744073709103970,18446744073709429678,247483,401188,18446744073708974260,18446744073709287972,18446744073709203044,711158,18446744073709408395,1137181,0
85464,18446744073708802969,18446744073708580146,18446744073708355369,18446744073709429678,167592,611428,18446744073708893908,18446744073709165671,18446744073708965800,973658,110304,867260,0
1502023,1480247,523004,18446744073707666656,1978537,1126287,1011885,18446744073708251097,854536,18078,18446744073709256525,1293418,41621,0
689041,18446744073708990948,18446744073709345609,18446744073708564977,1208363,1365960,1262171,18446744073709376017,1308796,462372,18446744073709519025,1082148,152765,0
504273,1345976,18446744073708653048,18446744073709343522,18446744073708869552,247483,651474,18446744073708813557,18446744073709357858,18446744073709215984,18446744073709344025,546929,914893,0
1083214,18446744073709152073,814609,18446744073708205649,88110,1525743,1532479,18446744073708010043,190617,160425,18446744073709212775,1335672,1105425,0
294868,1471295,18446744073709272708,18446744073708954249,228141,551070,601417,18446744073709215314,120730,18446744073709250493,18446744073708950275,546929,18446744073709339194,0
60828,18446744073709044656,18446744073708580146,18446744073708804529,508205,1126287,971840,18446744073708893908,767178,18446744073709543813,18446744073709212775,1039894,438563,0
1489705,1525003,267850,18446744073709373466,788268,886613,621440,18446744073709054611,18446744073708956013,78468,18446744073709169025,1011724,1057792,0
1699109,1122191,18446744073709236257,18446744073708505089,158126,1525743,1142034,18446744073708813557,1046723,18446744073709483423,361158,1166656,1010159,0
1107850,18446744073708964094,18446744073708653048,18446744073708505089,88110,1286069,1362285,18446744073708331448,959365,449431,18446744073709344025,1011724,756117,0
1354208,18446744073709268441,122048,18446744073709343522,228141,726831,891748,18446744073709215314,1378682,492567,492408,194812,994282,0
1157122,18446744073709008851,18446744073709199806,18446744073708924305,578221,934548,1512457,18446744073709215314,854536,1657220,711158,687776,1629389,0
60828,18446744073709008851,18446744073708361443,18446744073707427104,18446744073709009583,678896,1242148,18446744073708010043,2304675,923920,711158,420167,1280080,0
1021625,18446744073708937239,851060,18446744073708864417,18446744073709149615,247483,961828,18446744073708411800,1221438,233755,1236158,1068063,1645267,0
1009307,18446744073709026753,194949,18446744073707906208,788268,2532372,1712685,18446744073709215314,487633,859217,229909,913131,1407101,0
947717,18446744073709161024,1142664,18446744073708834473,1068331,1126287,761600,226158,155674,535702,754908,448336,1994576,0
910764,18446744073708955142,18446744073709126905,18446744073708624865,1278379,487157,871725,18446744073708331448,50844,341593,18446744073709387775,828623,994282,0
689041,18446744073709008851,340752,300954,1138347,1062374,751588,18446744073708251097,1500983,514134,98659,589183,1184814,0
1502023,18446744073708981996,18446744073709309158,18446744073708594921,1278379,1445851,971840,18446744073708733205,767178,570210,18446744073709475275,983555,708483,0
356458,18446744073709223684,1142664,18446744073708744641,158126,1126287,1202102,18446744073709134962,120730,406296,492408,321574,1661144,0
886128,18446744073708740309,486554,18446744073708714697,578221,1765416,1642605,18446744073708170746,784650,751378,18446744073709256525,363828,1708777,0
18446744073708774827,18446744073708301691,18446744073705882803,18446744073706888111,18446744073708729520,18446744073709048122,18446744073708090679,18446744073708893908,18446744073707505873,18446744073708210932,404908,18446744073708436551,18446744073708831108,1
18446744073708725555,18446744073708444914,18446744073709236257,18446744073708505089,88110,18446744073709159970,18446744073708611273,2154591,18446744073707488402,18446744073708780318,1279908,18446744073708225281,18446744073709339194,1
18446744073709107410,18446744073708677649,18446744073708288542,18446744073708744641,18094,18446744073709112035,18446744073708931639,1351077,18446744073707855305,298458,98659,18446744073708112603,18446744073708608821,1
824538,18446744073708579184,18446744073707924036,18446744073709103970,18446744073709149615,18446744073709239861,18446744073709312073,18446744073709215314,18446744073708047492,18446744073709008935,1192408,18446744073709337972,18446744073709180417,1
18446744073708774827,18446744073708471768,18446744073708798850,18446744073709403410,18446744073708659504,1925199,1071954,18446744073708170746,487633,18446744073709289314,1148658,363828,18446744073708513555,1
18446744073708528469,18446744073708758212,595906,18446744073709403410,298157,18446744073708904318,18446744073709272027,708266,18446744073708571638,18446744073708642285,2154907,18446744073709014024,18446744073708307145,1
18446744073708774827,18446744073708543379,705257,18446744073709133914,18446744073709429678,199549,621440,65455,854536,18446744073709354017,1017408,18446744073709112617,18446744073709332843,1
134736,18446744073708364351,18446744073707122123,18446744073708205649,18446744073708029362,1094330,1152045,18446744073708733205,1203967,104349,711158,800454,18446744073708773949,1
18446744073708774827,18446744073708507573,18446744073707924036,31458,18446744073708029362,18446744073709255839,18446744073709522313,18446744073708813557,18446744073708589110,18446744073709388526,711158,1222995,18446744073708799353,1
418047,18446744073708301691,18446744073709527862,18446744073708804529,718252,375309,18446744073708821513,1511780,18446744073707505873,18446744073708737182,273659,18446744073708591483,9866,1
18446744073708577740,18446744073708525476,18446744073707304376,18446744073708744641,3588902,18446744073708840405,18446744073708801490,18446744073707768989,1588341,18446744073708599149,1411158,645522,18446744073709459864,1
18446744073708676284,18446744073708901434,18446744073708981103,271010,228141,18446744073707642036,18446744073708541193,65455,18446744073709322915,18446744073708685420,18446744073709326525,18446744073708436551,390930,1
1058578,18446744073708811920,1106214,1648436,18446744073708589488,1046395,831680,18446744073708331448,487633,18446744073708827767,1761158,772285,18446744073708481799,1
602816,18446744073708946191,18446744073709090455,1348995,18446744073708659504,18446744073708888339,18446744073709362130,18446744073708813557,18446744073708571638,18446744073708983054,98659,237066,18446744073708678683,1
18446744073709538537,18446744073708955142,851060,3145637,2748712,1605634,861714,18446744073708331448,644877,18446744073708814826,1542408,1251164,756117,1
18446744073708269793,18446744073708435962,18446744073709309158,450674,88110,1733460,110857,18446744073707688637,103259,18446744073708754437,142409,730030,441738,1
18446744073707900256,18446744073709143121,18446744073707924036,18446744073708505089,18446744073709359662,18446744073708456927,18446744073709091822,18446744073709376017,18446744073708781297,18446744073709008935,1192408,18446744073708887261,18446744073708538959,1
36192,18446744073708265886,18446744073707158574,18446744073708505089,18446744073708589488,18446744073709000187,731,18446744073708572503,18446744073709322915,18446744073709354017,1017408,18446744073709366141,18446744073708424640,1
18446744073708121978,495595,18446744073709054004,18446744073709103970,858284,18446744073708632688,18446744073708841536,547563,18446744073708431866,18446744073708512879,11159,18446744073709422480,18446744073708767598,1
18446744073708725555,18446744073708346448,18446744073708033388,18446744073708145761,2538664,18446744073708920296,18446744073709372142,18446744073709456368,2042602,18446744073708836394,448658,18446744073709126701,9866,1
18446744073709181318,1372830,122048,1049555,88110,854656,521325,547563,627406,18446744073708478370,1017408,730030,18446744073708650103,1
18446744073708319065,18446744073708283789,18446744073708215641,18446744073709403410,18446744073708589488,199549,230994,18446744073709054611,18446744073709270501,18446744073708448176,1848658,715946,18446744073708062629,1
18446744073709205954,18446744073709080462,18446744073708944652,18446744073709343522,18446744073708589488,18446744073709399643,501302,18446744073708733205,312918,18446744073709052070,886158,744115,18446744073709447162,1
18446744073708417608,18446744073708471768,523004,1348995,18446744073708029362,18446744073709080078,18446744073709101833,306509,18446744073709218086,18446744073708318770,1542408,152558,18446744073709180417,1
60828,1363879,18446744073709382059,899835,18446744073708519472,18446744073708520840,18446744073709111844,1993888,50844,18446744073709440288,18446744073709037775,18446744073708704160,18446744073708815231,1
18446744073708121978,18446744073708256935,778159,18446744073709103970,18446744073709149615,18446744073709399643,180937,18446744073708411800,1326268,18446744073708685420,18446744073708819025,659607,18446744073708831108,1
18446744073709144364,18446744073708337497,18446744073709090455,18446744073709103970,18446744073709499694,18446744073709399643,18446744073709462244,18446744073709054611,18446744073709322915,18446744073708499938,1192408,772285,18446744073708608821,1
18446744073708516151,18446744073708901434,18446744073709345609,989667,18446744073708869552,18446744073708728557,18446744073709211959,547563,18446744073709497631,18446744073708426608,1629908,18446744073709056278,18446744073708751720,1
18446744073707887938,18446744073708955142,923961,1947876,18446744073708729520,18446744073708952252,18446744073709131867,306509,18446744073709113257,18446744073708491311,1761158,842708,18446744073708964481,1
18446744073707875620,18446744073709304246,340752,630339,18446744073708449457,18446744073709000187,18446744073709211959,949320,18446744073709130728,18446744073708577582,186159,194812,18446744073709339194,1
18446744073708417608,18446744073708650795,18446744073709309158,1229219,18446744073707469235,18446744073709399643,18446744073709111844,467212,18446744073709183143,18446744073708120347,492408,842708,18446744073709164540,1
18446744073708417608,18446744073709098364,18446744073709382059,18446744073709253690,18446744073708239409,18446744073708440949,18446744073709021742,1270726,85787,18446744073708405040,536158,18446744073709070362,18446744073708704087,1
18446744073708319065,18446744073708811920,194949,750115,18446744073708589488,18446744073708201275,18446744073708771456,1110023,68316,18446744073708922664,404908,53965,18446744073708608821,1
18446744073709169000,18446744073708829823,18446744073709163356,360842,18446744073708169393,18446744073708089427,18446744073708981696,1752834,50844,18446744073708685420,11159,18446744073708774584,18446744073708751720,1
18446744073708676284,441886,18446744073709017553,18446744073709103970,18446744073708729520,247483,220983,18446744073708652854,697292,18446744073708297202,842408,969470,18446744073708100735,1
18446744073707850984,18446744073709241586,18446744073709236257,18446744073709103970,18446744073709429678,1158243,230994,18446744073708010043,18446744073709130728,18446744073708771691,886158,490591,18446744073708275390,1
18446744073708898006,18446744073708820872,18446744073708944652,18446744073709403410,4359076,327374,241005,18446744073709215314,2951123,18446744073708491311,886158,25796,603691,1
18446744073708085024,18446744073709357954,1361368,600395,2398632,18446744073708440949,18446744073708511159,18446744073707768989,18446744073709497631,18446744073708448176,18446744073709519025,18446744073709056278,18446744073709164540,1
18446744073708676284,18446744073708722406,18446744073708142739,18446744073708505089,18446744073708519472,407266,471268,18446744073708974260,312918,18446744073708620717,1192408,180727,18446744073708538959,1
18446744073708774827,18446744073708418059,18446744073708580146,18446744073709253690,18446744073708729520,1957155,1722696,18446744073708572503,627406,18446744073709310882,361158,222981,18446744073709275683,1
18446744073708676284,746233,18446744073708981103,18446744073709103970,18446744073708729520,886613,961828,708266,2129959,18446744073708361905,2023657,307490,18446744073708469097,1
18446744073708417608,18446744073709322149,18446744073707122123,18446744073708954249,18446744073709359662,18446744073709447578,140891,18446744073708733205,18446744073709218086,18446744073708793258,1367408,490591,18446744073709434460,1
18446744073709058139,18446744073708659747,18446744073707851135,18446744073709253690,18446744073708729520,18446744073708201275,18446744073708881582,18446744073708974260,18446744073709130728,18446744073708426608,361158,222981,18446744073708964481,1
18446744073708737873,101734,340752,450674,18446744073709429678,423244,80823,18446744073709376017,18446744073709060842,18446744073708577582,18446744073708862775,1082148,18446744073708570714,1
18446744073708097342,18446744073708999899,18446744073707778234,1514,18446744073708589488,327374,18446744073709161902,65455,18446744073709253029,18446744073708258380,18446744073709475275,18446744073709309802,18446744073708497677,1
18446744073708947278,18446744073709008851,18446744073708142739,300954,18446744073708519472,18446744073709399643,18446744073709442221,18446744073709215314,18446744073709357858,18446744073708637971,361158,1349757,18446744073709313790,1
18446744073708836416,191248,18446744073709199806,750115,18446744073708869552,18446744073708568775,18446744073709362130,2395645,18446744073709253029,18446744073708534446,18446744073709125275,969470,18446744073708180123,1
18446744073708627012,18446744073709008851,18446744073708653048,18446744073709403410,18446744073708169393,18446744073708520840,731,65455,68316,18446744073708836394,186159,786369,18446744073708799353,1
18446744073709205954,18446744073709026753,18446744073709236257,899835,18446744073708449457,18446744073708089427,18446744073709282039,949320,68316,18446744073708793258,18446744073709212775,18446744073709281633,18446744073708729491,1
18446744073708590058,18446744073708614990,18446744073707996937,18446744073709403410,18446744073709009583,103679,10743,226158,854536,18446744073708534446,18446744073709125275,575099,18446744073708170597,1
18446744073707838666,18446744073708668698,1215566,151234,18446744073709149615,710852,891748,18446744073708974260,1570870,18446744073708512879,11159,913131,18446744073709339194,1
18446744073707653898,1256462,18446744073707559530,1514,508205,1413895,551360,18446744073708572503,3475269,18446744073708620717,18446744073708644025,279320,18446744073708964481,1
18446744073708959595,83831,18446744073708835301,450674,18446744073708729520,407266,241005,18446744073708733205,18446744073708903598,18446744073708232499,18446744073709300275,237066,18446744073708211879,1
18446744073708023435,307616,2017479,151234,228141,18446744073708680622,731,1913537,18446744073708606581,18446744073709008935,1192408,18446744073709394311,18446744073709107380,1
18446744073707592308,18446744073708122664,486554,450674,18446744073708729520,295418,18446744073709532324,467212,18446744073709287972,18446744073708698361,623658,18446744073709126701,18446744073708558012,1
18446744073708417608,18446744073708704504,486554,899835,18446744073708449457,423244,261028,547563,18446744073708589110,18446744073708620717,18446744073709431525,814539,18446744073708402411,1
18446744073707124228,18446744073708811920,18446744073708944652,600395,18446744073708519472,263461,140891,1270726,732235,18446744073708189364,3292407,363828,18446744073708472273,1
18446744073708097342,18446744073708776115,18446744073708179190,390786,18446744073708589488,18446744073709048122,18446744073709121856,18446744073709054611,18446744073709445216,18446744073708210932,18446744073709519025,1011724,18446744073708751720,1
18446744073708836416,18446744073708901434,18446744073708908202,899835,578221,18446744073709080078,60800,18446744073709376017,33373,18446744073708258380,448658,490591,18446744073708275390,1
18446744073709267543,978969,18446744073708142739,18446744073708505089,18446744073708169393,18446744073708488883,18446744073708771456,547563,18446744073708222207,18446744073708836394,18446744073708425275,18446744073708859092,18446744073708361129,1
18446744073708319065,978969,18446744073708215641,18446744073709403410,18446744073708659504,18446744073709080078,18446744073709161902,65455,487633,18446744073707921925,18446744073709431525,617353,18446744073708970832,1
18446744073707641580,56977,194949,151234,18446744073709289647,966504,761600,18446744073709215314,417747,18446744073708771691,18446744073708862775,1096233,18446744073709164540,1
18446744073707777077,18446744073709295295,3147447,2696477,1348395,1413895,3054216,868969,487633,406296,18446744073709431525,1518773,18446744073708656454,1
18446744073708836416,1874107,1324917,2097596,158126,18446744073709399643,100845,547563,208088,18446744073708267007,18446744073709387775,715946,18446744073708338900,1
60828,3100446,18446744073708689498,600395,18446744073708589488,519113,621440,18446744073709054611,732235,18446744073708491311,18446744073708556525,687776,18446744073708386533,1
18446744073708158932,1766691,85597,450674,18446744073708309425,902591,1001874,18446744073708331448,2304675,18446744073708577582,18446744073708644025,1448350,18446744073708386533,1
18446744073708405290,18446744073709393760,18446744073708835301,450674,18446744073708519472,487157,621440,65455,18446744073709130728,18446744073708560328,18446744073709125275,941301,18446744073708380182,1
18446744073708848734,18446744073708829823,18446744073709272708,600395,18446744073708589488,710852,1122011,226158,312918,18446744073709069324,18446744073708381525,321574,18446744073708297618,1
18446744073708060389,18446744073709366906,1507170,2696477,18446744073709009583,18446744073709287795,210971,1752834,295446,18446744073708663852,54909,18446744073709309802,18446744073708659629,1
18446744073708774827,18446744073708919337,18446744073709309158,1498716,18446744073708729520,18446744073709431600,421211,306509,540048,18446744073708284262,18446744073709256525,237066,18446744073708265863,1
18446744073708368336,1757739,49147,750115,18446744073708169393,18446744073709239861,18446744073709272027,467212,18446744073709130728,18446744073708491311,18446744073708819025,18446744073709492903,18446744073709021640,1
18446744073709378404,18446744073708668698,18446744073709382059,18446744073709103970,1558442,18446744073708297144,18446744073708771456,18446744073708331448,18446744073708414394,18446744073709138341,18446744073708687775,18446744073707690062,18446744073709180417,2
18446744073709403040,585109,122048,151234,298157,18446744073707961601,18446744073708741422,18446744073708572503,18446744073708222207,147484,18446744073708600275,18446744073707873163,18446744073708862864,2
18446744073709316815,18446744073709528031,122048,1348995,18446744073709429678,18446744073707721928,18446744073708611273,18446744073708813557,18446744073708222207,276890,18446744073708250275,18446744073707788655,18446744073708958130,2
18446744073709181318,1086386,18446744073709527862,600395,438189,18446744073708600731,18446744073708721399,18446744073708010043,18446744073708239679,18446744073709526559,18446744073708775275,18446744073707690062,18446744073709085151,2
18446744073708947278,18446744073708570233,18446744073709126905,18446744073708954249,18446744073708519472,18446744073709080078,18446744073708100690,1913537,18446744073708956013,169052,18446744073708644025,18446744073707999926,18446744073709243928,2
18446744073709058139,110685,18446744073708944652,18446744073709253690,18446744073709149615,18446744073708472905,18446744073708180782,2154591,18446744073708414394,880784,18446744073708556525,18446744073708098518,18446744073709386827,2
18446744073708627012,2133697,632356,450674,18446744073708799536,18446744073708089427,18446744073707990565,1351077,18446744073708169793,18446744073709030503,18446744073708644025,18446744073707661893,18446744073709466215,2
18446744073708971913,2840856,996862,1648436,18446744073709289647,18446744073708744535,18446744073708120713,2154591,18446744073708693939,18446744073709526559,18446744073708950275,18446744073708253450,18446744073708815231,2
602816,1122191,18446744073708908202,1514,18446744073708729520,18446744073708472905,18446744073708000576,1752834,18446744073708309565,276890,18446744073708906525,18446744073708436551,18446744073709021640,2
18446744073709353768,558254,887510,1348995,88110,39766,18446744073708120713,1351077,18446744073708187264,18446744073709492050,18446744073709256525,18446744073708901346,18446744073709053396,2
18446744073709464629,423984,1215566,450674,18446744073709289647,18446744073708345079,18446744073708020599,1351077,18446744073708082435,18446744073709354017,18446744073708731525,18446744073709126701,18446744073709085151,2
442683,200199,18446744073709491411,151234,18446744073708799536,18446744073708121384,18446744073708020599,65455,18446744073707890248,233755,18446744073708425275,18446744073709352056,105132,2
639770,746233,1288467,1199275,18446744073709359662,18446744073708361057,18446744073708040622,1110023,18446744073707733004,18446744073709246179,18446744073709256525,18446744073708774584,18446744073708831108,2
762949,2339579,18446744073709491411,151234,18446744073709009583,18446744073709080078,18446744073708320942,868969,18446744073708554167,18446744073709267747,18446744073709344025,18446744073708760499,18446744073708926374,2
18446744073708627012,1381781,18446744073708944652,18446744073709253690,858284,18446744073708089427,18446744073708300919,18446744073708974260,18446744073708763825,1359586,18446744073708206526,18446744073708690076,343297,2
196325,1104289,18446744073708762399,450674,158126,18446744073708281166,18446744073708070656,547563,18446744073709043370,18446744073709095206,18446744073707987776,18446744073708239365,263908,2
1083214,2420142,18446744073709054004,151234,18446744073708169393,18446744073707450298,18446744073707860416,306509,18446744073707960134,18446744073709483423,18446744073707900276,18446744073707746401,18446744073708497677,2
18446744073709390722,2035232,413653,600395,18446744073708589488,18446744073708600731,18446744073708170770,868969,18446744073708274622,1118029,18446744073707725276,18446744073708492890,18446744073709164540,2
393412,808893,49147,600395,18446744073709009583,18446744073708968231,18446744073708280896,708266,18446744073708956013,1450171,18446744073707769026,18446744073708154857,18446744073709243928,2
97782,1399684,18446744073709527862,600395,928300,18446744073708137362,18446744073708911616,18446744073709376017,18446744073708763825,1872897,18446744073707856526,18446744073707746401,18446744073708926374,2
615134,701476,923961,1348995,1628458,18446744073708121384,18446744073709091822,18446744073708411800,18446744073708956013,1527814,18446744073707944026,18446744073707704147,18446744073708767598,2
18446744073709292179,298664,413653,750115,858284,18446744073708249210,18446744073708881582,18446744073708572503,18446744073708973484,2476791,18446744073707462776,18446744073707943587,18446744073708704087,2
134736,18446744073709161024,1397819,1798156,1138347,18446744073709399643,18446744073708801490,18446744073708733205,18446744073709497631,880784,18446744073708031526,18446744073707746401,18446744073708529432,2
282551,862601,18446744073709236257,18446744073709253690,18446744073709429678,18446744073708760513,18446744073708350976,1993888,487633,2356012,18446744073707812776,18446744073707999926,18446744073709323316,2
18446744073709033503,18446744073708614990,18446744073708580146,151234,228141,18446744073708249210,18446744073708100690,1351077,18446744073709218086,1096461,18446744073707900276,18446744073708056264,18446744073709212173,2
208643,2554412,18446744073709382059,750115,18446744073709079599,18446744073708664644,18446744073708150748,1993888,18446744073709480159,1225867,18446744073707987776,18446744073707957671,18446744073709482093,2
1033943,1596615,49147,1514,18446744073708799536,18446744073708760513,18446744073708350976,949320,18446744073709497631,1704669,18446744073707856526,18446744073708183027,18446744073708704087,2
18446744073708873370,620914,996862,2247316,18446744073709359662,18446744073708920296,18446744073708100690,2154591,18446744073708763825,1053326,18446744073708294025,18446744073708309789,422685,2
1649838,18446744073708964094,1215566,1648436,18446744073709429678,806722,18446744073708831524,1351077,1937772,3425768,18446744073707856526,18446744073708633737,18446744073709275683,2
590498,18446744073708955142,996862,899835,18446744073708799536,487157,18446744073708621285,1270726,1221438,2886577,18446744073707856526,18446744073708380212,18446744073709148662,2
18446744073708762509,1337024,49147,450674,18446744073708729520,7810,18446744073708441079,1110023,18446744073708589110,1118029,18446744073707812776,18446744073708098518,18446744073708831108,2
849174,826796,632356,151234,508205,18446744073708808448,18446744073708080668,1110023,18446744073708169793,354534,11159,18446744073708436551,18446744073709339194,2
18446744073709366086,835747,778159,750115,438189,18446744073708520840,18446744073708120713,1913537,18446744073708449337,225128,18446744073709169025,18446744073708845007,18446744073708989885,2
18446744073709501583,996872,18446744073709491411,18446744073709253690,438189,18446744073708105405,18446744073708220827,306509,18446744073708414394,95722,18446744073708337775,18446744073708337958,18446744073709323316,2
960035,379227,18446744073709309158,750115,18446744073708869552,18446744073708041493,18446744073708200805,386860,18446744073708571638,1950540,18446744073708425275,18446744073708239365,18446744073709132784,2
898446,1811448,18446744073709163356,899835,18446744073708729520,18446744073707929645,18446744073707990565,1270726,18446744073708781297,673735,18446744073708775275,18446744073708337958,18446744073708831108,2
553544,1220657,851060,1049555,788268,18446744073708600731,18446744073708441079,547563,18446744073709322915,2425029,18446744073709081525,18446744073708070349,18446744073709386827,2
18446744073709329133,925261,18446744073709309158,1514,18446744073708729520,18446744073708249210,18446744073708180782,306509,18446744073708466809,2243861,18446744073708512775,18446744073708337958,18446744073709355072,2
713677,218102,1179115,1498716,368173,18446744073708361057,18446744073708360987,226158,18446744073709462688,1553695,18446744073708600275,18446744073708408382,9866,2
491955,2026281,1798775,1648436,858284,18446744073709048122,18446744073708481125,18446744073708813557,18446744073708711411,1484679,18446744073708294025,18446744073708577398,18446744073709180417,2
18446744073708565423,620914,18446744073709382059,18446744073709403410,18446744073709289647,18446744073707881710,18446744073708010588,306509,18446744073708047492,190619,18446744073708250275,18446744073708450636,18446744073708799353,2
18446744073709267543,48026,18446744073709236257,1514,18446744073708589488,18446744073708105405,18446744073708030610,949320,18446744073707890248,2088573,18446744073707856526,18446744073708168942,18446744073708672332,2
1428115,155442,413653,151234,18446744073708939567,18446744073708568775,18446744073708220827,627915,18446744073708938541,2002303,18446744073708075276,18446744073708281619,18446744073709275683,2
873810,2966176,304301,300954,18446744073709219631,18446744073708568775,18446744073708130725,1270726,18446744073708624053,1139596,18446744073708162776,18446744073708323874,18446744073709529726,2
491955,1408636,413653,1049555,158126,18446744073708760513,18446744073708270885,547563,18446744073709235558,967055,18446744073708425275,18446744073708070349,9866,2
331822,1739837,18446744073709163356,151234,1418411,18446744073708424970,18446744073708210816,547563,18446744073709130728,2217979,18446744073707944026,18446744073708070349,279786,2
208643,227053,12696,151234,1418411,18446744073708520840,18446744073708200805,1351077,18446744073709322915,1829761,18446744073707987776,18446744073708154857,295664,2
1391162,1578712,1361368,1498716,18446744073709289647,18446744073709159970,18446744073708280896,1592131,18446744073709130728,1786626,18446744073708031526,18446744073708126688,18446744073708958130,2
